Word,Meaning
striated,marked with parallel bands; stripe d; grooved; Ex. striated rocks;
stricture,severe and adverse criticism; critical comments; limit or
strident,loud and harsh; insistent; N. stridency
stringent,(of rules) binding; rigid; mark ed by scarcity of money; Ex.
strut,supporting bar; CF. airp lane wing building support
studied,carefully contrived; calculated; unspontaneous; deliberate; thoughtful; Ex. studied remark
studious,given to diligent study
stultify,make stupid in mind; cause to appear or become stupid or inconsistent; suppress; frustrate or  hinder; Ex. stultifying effect
stumble,trip and almost fall; proceed unsteadily; act falteringly; N.
stump,base of a tree trunk left after the rest has been cut down; V: walk in a heavy manner; baffle; puzzle
stun,make unconscious or numb as by a blow; amaze; astound
stupefy,stun; make numb (as with a drug); amaze
stupor,state of being stupefied; stat e of apathy; daze; lack of awareness
sturdy,strong and firm (in the body)
stygian,unpleasantly dark; gloomy; hellish; deathly; CF. Styx: the chief river in the subterranean land of the dead
stymie,thwart; present an obstacle; stump
suavity,urbanity; polish; ADJ. suave: smooth and courteous
subaltern,subordinate
subdue,less intense; quieter; Ex. subdued lighting; Ex. subdue: conquer;
subjective,influenced by personal feelings; occurring or taking place within
subjugate,conquer; bring under control
sublimate,refine; purify; replace (natural ur ges) with socially acceptable
sublime,"causing deep feelings of wonder, joy, respect, etc.; exalted; noble"
subliminal,below the threshold of conscious perception; Ex. subliminal advertisement
submerge,place under water; dip; go under water; cover completely (as with
submissive,willing to obey orders; yielding; timid
subordinate,occupying a lower rank; inferior; submissive; N. V: put in a lower
suborn,persuade to act unlawfully (especially to commit perjury); N.
subpoena,writ(written command issued by  a court) summoning a witness
subsequent,following in time or order; later
subservient,behaving like a slave; servile; obsequious; subordinate; N.
subside,sink to a lower level; settle down; sink to the bottom (as a
subsidiary,serving to assist; subord inate; secondary; of a subsidy; N.
subsidy,"direct financial aid b y government, etc.; V. subsidize: assist with a"
subsistence,existence; means of subsisting; means of support; livelihood; V.
substantial,of substance; material; solid; essential or fundamental; ample;
substantiate,support (a claim) with evidence; establish with evidence; verify
substantive,substantial; essential; pertaining  to the substance; substantial;
subsume,include (as a member of a group); encompass
subterfuge,stratagem(deceptive scheme); pretense; evasion; Ex. resort to a harmless subterfuge
subtlety,perceptiveness; ingenuity; delica cy; ADJ. subtle: delicate; so
subversive,tending to overthrow or ruin; V. subvert: overthrow completely
succor,assist (someone in difficulty); aid; comfort; N.
succulent,juicy; full of juice or sap; full of  richness; N: succulent plant such
succumb,yield (to something overwhelming);  give in; die; Ex. succumb to
suckle,give or take milk at the breast or udder
suffocate,die or kill from lack of air; suppress
suffragist,advocate of the extension of voting rights (for women); CF.
suffuse,spread through or over (with a color or liquid); charge; Ex. A blush suffused her cheeks.
suitor,man who is courting a woman
sullen,silently showing ill humor or resentment; dark; gloomy
sully,defile; soil; tarnish; Ex. sully one's hands in menial labor
sultry,(of weather) hot; sw eltering; sensual; voluptuous
summation,act of finding the total; summing -up; summary (esp. one given by
sumptuous,grand suggesting great expense; lavish; rich; Ex. sumptuous feast
sunder,separate; part; CF. asunder
sundry,miscellaneous; various;  several; N. sundries: small miscellaneous
superannuated,retired or disqualified  because of age; outmoded; obsolete
supercilious,"haughty; arrogant; condescending; patronizing; CF. eyebrow,"
supererogatory,superfluous; mo re than needed or demanded
superficial,of the surface; not deep; shallow; not thorough; trivial; Ex.
superfluous,excessive; overabundant; unnecessary; N. superfluity
superimpose,place over something else
supernumerary,person or thing excess of what is necessary; extra; ADJ: additional to the usual or necessary number
supersede,replace; cause to be set as ide; make obsolete; N. supersession
supine,lying on back; passive; inactive; Ex. The defeated pugilist lay supine; Ex. supine acceptance of the decision
supplant,take the place of unfairly; usurp; replace
supple,flexible; limber; pliant
suppliant,entreating; beseeching; N.
supplicant,one who supplicates; ADJ.
supplicate,petition humbly; pray to grant a favor
supposition,assumption; hypothesis; surmise; V. suppose
supposititious,assumed; counterfeit; hypothetical
suppress,put an end to forcibly; subdue; stifle; overwhelm; inhibit the
surfeit,satiate; feed or supply to excess; stuff; indulge to excess in anything; N: surfeiting; excessive amount; Ex. surfeit of food
surge,powerful movement of or like a wave; V.
surly,bad-tempered; rude; cross
surmise,guess; N.
surmount,overcome
surpass,exceed
surreptitious,done secretly; secret; furtive; sneaky; hidden
